,hotel,clean,comfort,location,services,staff,value,wifi
113,obolon.uk.html,7.3,8.5,7.1,7.0,7.8,6.9,6.3
114,zvezda.uk.html,7.5,6.9,6.8,6.8,7.8,7.6,7.0
115,elegant.uk.html,8.3,8.4,7.4,7.4,8.2,7.1,6.9
116,time.uk.html,8.9,7.9,8.3,8.4,8.7,8.4,8.3
117,fullhouse-vokzal-kyiv-1.uk.html,8.8,9.6,9.6,10.0,9.6,9.6,
118,shelter-kiyiv.uk.html,9.2,7.7,8.6,8.6,9.2,8.9,8.5
119,persian-palace-kiiev.uk.html,7.8,7.7,7.6,7.5,8.7,7.6,8.5
120,nadobu-roshe.uk.html,9.3,9.0,9.0,8.8,9.1,8.9,8.9
121,favor-park-otel.uk.html,9.5,8.1,9.5,9.3,9.3,9.1,8.9
122,podol-plaza.uk.html,8.6,8.7,8.0,7.8,8.3,7.5,6.9
123,barbaris.uk.html,7.6,7.8,7.0,7.0,7.8,7.4,7.1
124,hotel-avtokontinient.uk.html,6.5,6.2,6.1,6.1,7.5,6.6,6.9
125,andreevsky-guest-house-kyiv.uk.html,4.3,7.7,4.2,4.3,5.5,4.7,5.5
126,kozatskiy-on-antonova.uk.html,6.9,7.3,6.2,6.3,7.7,6.8,7.7
127,raziotel-kyiv-yamska.uk.html,9.3,8.1,8.6,8.5,8.6,8.2,8.8
128,mirrors-hotel.uk.html,9.7,9.7,9.5,9.3,9.6,8.6,9.3
129,attache.uk.html,8.6,8.3,8.2,7.8,8.7,7.7,8.8
130,hermitage-hotel.uk.html,9.6,9.2,9.2,8.9,9.5,8.7,9.3
131,black-sea.uk.html,7.9,7.6,7.5,7.3,8.2,7.4,8.1
132,cosmopolite.uk.html,9.2,8.1,8.9,8.8,8.9,8.3,8.7
133,president.uk.html,8.4,8.7,8.3,8.2,8.4,7.5,8.4
134,mountains-comfort-apartments.uk.html,9.1,8.7,9.0,9.1,9.6,9.1,
135,ecohostel-kiev.uk.html,9.1,9.0,8.3,8.3,9.3,8.7,8.4
136,greguar-apartmets.uk.html,9.4,9.3,9.1,8.9,9.5,8.6,9.2
137,siesta.uk.html,9.1,7.9,8.8,8.8,9.0,8.9,8.7
138,fregat.uk.html,7.3,8.1,7.3,7.2,7.8,7.4,7.6
139,premier-palace.uk.html,9.2,9.4,8.9,8.9,9.0,7.9,8.5
140,mackintosh.uk.html,9.2,8.8,8.6,8.5,9.1,8.4,9.0
141,gostinichnyi-komplieks-fortietsia.uk.html,8.9,8.8,9.0,8.9,9.4,8.7,6.8
142,adria.uk.html,8.4,9.0,7.9,7.9,8.6,7.9,7.6
143,autograph-hotel-kiev.uk.html,9.3,8.8,9.0,8.7,8.9,8.2,7.9
144,live-here.uk.html,9.5,9.7,9.1,9.0,9.5,8.8,9.3
145,maria-kiev.uk.html,9.8,8.7,9.7,9.6,9.9,9.5,8.8
146,comfort-kyiv12345678.uk.html,9.5,9.0,9.0,8.9,9.2,8.7,8.5
147,senator-apartments-executive-court.uk.html,9.4,8.4,9.1,8.9,9.5,8.8,9.0
148,bonapart.uk.html,9.3,8.4,9.0,8.8,9.2,8.5,8.6
149,bogdaniv-yar-hotel-kiev.uk.html,6.3,8.2,6.2,6.4,7.7,6.8,7.3
150,the-nest-by-innkiev.uk.html,8.2,7.5,8.4,8.3,8.4,8.3,
151,alabama.uk.html,7.9,8.9,7.8,7.7,8.6,8.4,9.1
152,visak.uk.html,8.4,8.5,8.3,7.9,8.1,7.6,7.6
153,kolyba-house.uk.html,9.1,8.4,8.9,8.9,9.3,9.2,7.5
154,otel-na-pecherske.uk.html,8.2,8.4,7.7,7.6,8.6,7.8,7.4
155,hostel-verhovina.uk.html,7.3,8.0,6.9,6.9,7.9,7.9,7.6
156,mta.uk.html,9.3,8.7,8.9,8.8,8.6,8.7,8.8
157,gonchar.uk.html,8.6,9.1,8.0,7.9,8.6,8.1,8.9
158,centrroomkiev.uk.html,10.0,10.0,9.5,10.0,10.0,9.5,
159,mango-kyiv.uk.html,6.8,6.7,6.6,6.6,7.8,6.9,6.0
160,nova.uk.html,8.5,5.8,8.0,8.1,8.8,8.1,8.8
161,onovo.uk.html,8.9,8.4,8.5,8.4,8.7,7.7,8.5
162,salute.uk.html,8.4,9.0,8.0,7.7,8.6,7.6,8.0
163,twin-apart.uk.html,9.0,8.5,8.9,8.7,9.2,8.6,9.0
164,ambassador-plaza.uk.html,8.6,6.8,8.3,8.2,8.7,8.3,8.4
165,dudman-podil-apartment.uk.html,9.6,9.6,9.6,9.3,9.9,9.4,9.8
